6,4,2
8,12,0
4,7,8
21,10,2
6,16,2
2,14,7
4,6,0
2,8,7
8,8,7
6,5,0
9,6,8
5,9,6
6,6,6
4,10,10
4,6,10
4,8,4
8,6,2
2,4,2
6,2,7
4,10,5
8,0,2
16,2,4
12,2,4
4,6,2
12,8,4
8,9,6
16,14,7
2,12,5
8,8,6
9,6,6
5,2,4
2,12,10
14,5,0
16,8,8
12,9,4
8,6,6
14,5,4
8,8,6
16,4,4
10,7,3
7,6,6
7,14,4
8,9,4
10,6,8
12,8,7
8,6,2
6,5,8
8,12,12
6,12,4
6,8,9
6,8,4
3,4,2
20,7,4
6,10,2
4,12,4
8,9,10
8,10,6
14,5,7
12,14,4
9,14,4
8,6,7
8,3,4
8,10,0
14,6,9
7,4,2
12,8,2
6,8,6
12,6,2
6,10,4
6,10,7
2,12,3
2,12,0
3,8,0
4,10,6
7,4,1
4,4,4
2,12,6
4,4,10
7,6,8
8,14,4
9,14,2
12,16,2
5,7,4
6,4,8
4,8,0
7,2,6
0,4,2
6,14,9
18,2,4
8,10,0
10,6,2
9,6,4
4,4,6
6,10,5
12,6,4
8,8,4
10,6,2
10,4,4
10,2,8
8,8,4
